category,name,definition
Spell Descriptions,Resistance,"Abjuration cantrip

**Casting Time:** 1 action

**Range:** Touch

**Components: **V, S, M (a miniature cloak)

**Duration: **Concentration, up to 1 minute

Once before the spell ends, one willing creature can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after making the saving throw. The spell then ends."
Spell Descriptions,Resurrection,"7th-level necromancy

**Casting Time:** 1 hour

**Range:** Touch

**Components: **V, S, M (a diamond worth at least 1,000 gp, which the spell consumes)

**Duration: **Instantaneous

You touch a dead creature that has been dead for no more than a century, that didn’t die of old age, and that isn’t undead. If its soul is free and willing, the target returns to life with all its hit points.

This spell neutralizes any poisons and cures normal diseases afflicting the creature when it died.

It doesn’t, however, remove magical diseases, curses, and the like; if such effects aren’t removed prior to casting the spell, they afflict the target on its return to life.

This spell closes all mortal wounds and restores any missing body parts.

Coming back from the dead is an ordeal. The target takes a −4 penalty to all attack rolls, saving throws, and ability checks. Every time the target finishes a long rest, the penalty is reduced by 1 until it disappears.

Casting this spell to restore life to a creature that has been dead for one year or longer taxes you greatly. Until you finish a long rest, you can’t cast spells again, and you have disadvantage on all attack rolls, ability checks, and saving throws."
Spell Descriptions,Reverse Gravity,"7th-level transmutation

Casting

**Time: **1 action

**Range: **100 feet

**Components: **V, S, M (a lodestone and iron filings)

**Duration: **Concentration, up to 1 minute

Gravity reverses in the area. Any creatures or objects not anchored to the ground fall upward until they reach the top of the area. A creature may make a Dexterity saving throw to prevent the fall by grabbing hold of something. If a solid object (such as a ceiling) is encountered, the affected creatures and objects impact against it with the same force as a downward fall. When an object or creature reaches the top of the area, it remains suspended there until the spell ends.

When the spell ends, all affected objects and creatures fall back down."
Spell Descriptions,Revivify,"3rd-level necromancy

**Casting Time:** 1 action

**Range:** Touch

**Components: **V, S, M (diamonds worth 300 gp, which the spell consumes)

**Duration: **Instantaneous

You touch a creature that has died within the last minute. That creature returns to life with 1 hit point. This spell can’t return to life a creature that has died of old age, nor can it restore any missing body parts."
Spell Descriptions,Rope Trick,"2nd-level transmutation

**Casting Time:** 1 action

**Range:** Touch

**Components: **V, S, M (powdered corn extract and a twisted loop of parchment)

**Duration:** 1 hour

One end of the target rope rises into the air until it hangs perpendicular to the ground. At the upper end, a nearly imperceptible entrance opens to an extradimensional space that can fit up to 8 Medium or smaller creatures. The entrance can be reached by climbing the rope. Once inside, the rope can be pulled into the extradimensional space.

No spells or attacks can cross into or out of the extradimensional space. Creatures inside the extradimensional space can see out of a 3-foot-by-5-foot window centered on its entrance. Creatures outside the space can spot the entrance with a Perception check against your spell save DC. If they can reach it, creatures can pass in and out of the space.

When the spell ends, anything inside the extradimensional space falls to the ground."
Spell Descriptions,Sacred Flame,"Evocation cantrip

**Casting Time:** 1 action

**Range: **60 feet

**Components:** V, S

**Duration: **Instantaneous

As long as you can locate locate see one creature (even if it has cover) radiant holy flame envelops it, dealing 1d8 radiant damage.

This spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
Spell Descriptions,Sanctuary,"1st-level abjuration

**Casting Time: **1 bonus action

**Range: **30 feet

**Components: **V, S, M (a small silver mirror)

**Duration:** 1 minute

You protect a creature from intentional harm. When a creature makes an attack against or casts a harmful spell against the target, it must first make a Wisdom saving throw. On a failed save, the attacking creature must choose a different target or it loses the attack or spell. This spell doesn’t protect the target from area effects.

This spell ends early when the target attacks or casts a spell that affects a creature against its will."
Spell Descriptions,Scorching Ray,"2nd-level evocation

**Casting Time:** 1 action

**Range: **120 feet

**Components:** V, S

**Duration: **Instantaneous

Three rays of blazing orange fire shoot from your fingertips. Make a ranged spell attack for each ray. On a hit, each creature or object takes 2d6 fire damage.

**At Higher Levels. **Create an additional ray for each slot level above 2nd."
Spell Descriptions,Scrying,"Table: Scrying | 
Knowledge Or Physical Connection | DC Modifier
You have heard of the target | –5
You have met the target | +0
You know the target well | +5
Likeness | +2
Possession | +4
Lock of hair, nail clipping, tooth, finger, true name, and so on | +10"
Spell Descriptions,Secret Chest,"4th-level conjuration

**Casting Time:** 1 action

**Range:** Touch

**Components: **V, S, M (an exquisite chest, 3 feet by 2 feet by 2 feet, constructed from rare materials worth at least 5,000 gp, and a Tiny replica made from the same materials worth at least 50 gp)

**Duration: **Instantaneous

You hide a chest, and all its contents, on the Ethereal Plane. You must touch the chest and the miniature replica that serves as a material component for the spell. The chest can contain up to 12 cubic feet of nonliving material (3 feet by 2 feet by 2 feet). While the chest remains on the Ethereal Plane, you can use an action and touch the replica to recall the chest. It appears in an unoccupied space on the ground within 5 feet of you. You can send the chest back to the Ethereal Plane by using an action and touching both the chest and the replica. After 60 days, there is a cumulative 5 percent chance per day that the spell’s effect ends. This effect ends if you cast this spell again, if the smaller replica chest is destroyed, or if you choose to end the spell as an action. If the spell ends and the larger chest is on the Ethereal Plane, it is irretrievably lost."
Spell Descriptions,See Invisibility,"2nd-level divination

**Casting Time:** 1 action

**Range:** Self

**Components: **V, S, M (a pinch of talc and a small sprinkling of powdered silver)

**Duration: **1 hour

You can see invisible creatures and objects, and you can see into the Ethereal Plane. You perceive Ethereal creatures and objects as translucent phantoms."
Spell Descriptions,Seeming,"5th-level illusion

**Casting Time:** 1 action

**Range: **30 feet

**Components:** V, S

**Duration:** 8 hours

Until the spell ends or you use an action to dispel it, you can change the appearance of any number of creatures you can see. The spell can change the appearance of their bodies and possessions. An unwilling target can make a Charisma saving throw to avoid being affected by the spell.

You can alter the appearance of the target as you see fit, including but not limited to: its heritage, 1 foot of height, weight, clothing, tattoos, piercings, facial features, hair style and length, skin and eye coloration, sex and any other distinguishing features. You cannot disguise the target as a creature of a different size category, and its limb structure remains the same.

The disguise does not hold up to touch. To see through your disguise without such an interaction, a creature must use its action to make an Investigation check against your spell save DC."
Spell Descriptions,Sending,"3rd-level evocation

**Casting Time:** 1 action

**Range: **Unlimited

**Components: **V, S, M (a short piece of fine copper wire)

**Duration:** 1 round

You send a message of 25 words or less to one creature you are familiar with. It recognizes you as the sender and can reply immediately in kind. The message travels across any distance and into other planes of existence. If the target is on a different plane of existence than you, there is a 5% chance it doesn’t receive your message. A target with an Intelligence score of at least 1 understands your message as you intend it (whether you share a language or not)."
Spell Descriptions,Sequester,"7th-level transmutation

**Casting Time:** 1 action

**Range:** Touch

**Components: **V, S, M (a powder composed of diamond, emerald, ruby, and sapphire dust worth at least 5,000 gp, which the spell consumes)

**Duration: **Until dispelled

You magically hide away a willing creature or object. The target becomes invisible, and it cannot be traced or detected by divination or scrying sensors. If the target is a living creature, it falls into a state of suspended animation and stops aging.

The spell ends when the target takes damage or a condition you set occurs. The condition must pertain to creatures or objects within 1 mile of the target or be visible within that distance."
Spell Descriptions,Shapechange,"9th-level transmutation

**Casting Time:** 1 action

**Range:** Self

**Components: **V, S, M (a jade circlet worth at least 1,500 gp, which you must place on your head before you cast the spell)

**Duration: **Concentration, up to 1 hour

You take the form of a creature of a Challenge Rating equal to or lower than your level. The creature cannot be an undead or a construct, and it must be a creature you have seen. You change into the average version of that creature, and do not gain any class levels or the Spellcasting trait.

Until the spell ends or you are dropped to 0 hit points, your statistics (except your Charisma, Intelligence, and Wisdom scores) are replaced by those of the chosen creature. You also keep your skill and saving throw proficiencies as well as gaining the creature’s, keeping the higher of the two if you share one in common. You keep all of your features, skills, and traits gained from your class, heritage, culture, background, or other sources, and can use them as long as the creature is physically able to do so. You do not keep any special senses, such as darkvision. You can only speak if the creature is typically capable of speech. You cannot use legendary actions or lair actions. Your gear melds into the new form. Equipment that merges with your form has no effect until you leave the form.

When you revert to your normal form, you return to the number of hit points you had before you transformed. If the spell’s effect on you ends early from dropping to 0 hit points, any excess damage carries over to your normal form and knocks you unconscious if the damage reduces you to 0 hit points.

Until the spell ends, you can use an action to change into another form of your choice. The new form follows all the rules as the previous form, with one exception: if the new form has more hit points than your previous form, you keep the previous form’s hit points."
Spell Descriptions,Shatter,"2nd-level evocation

**Casting Time:** 1action

**Range: **60 feet

**Components: **V, S, M (a chip of mica)

**Duration: **Instantaneous

An ear-splitting ringing sound emanates from the area. Creatures in the area take 3d8 thunder damage. A creature made of stone, metal, or other inorganic material has disadvantage on its saving throw.

Any nonmagical items within the area that are not worn or carried also take damage.

**At Higher Levels. **The damage increases by 1d8 for each slot level above 2nd."
Spell Descriptions,Shield,"1st-level abjuration

**Casting Time: **1 reaction, which you take when you are hit by an attack or targeted by the Magic Missile spell

**Range:** Self

**Components:** V, S

**Duration: **1 round

An invisible barrier of magical force appears and protects you. Until the start of your next turn, you have a +5 bonus to AC, including against the triggering attack, and you take no damage from Magic Missile."
Spell Descriptions,Shield of Faith,"1st-level abjuration

**Casting Time: **1 bonus action

**Range: **60 feet

**Components: **V, S, M (a small parchment with a bit of holy text written on it)

**Duration: **Concentration, up to 10 minutes

A shimmering field appears and surrounds a creature of your choice within range, granting it a +2 bonus to AC for the duration."
Spell Descriptions,Shillelagh,"Transmutation cantrip

**Casting Time: **1 bonus action

**Range:** Touch

**Components: **V, S, M (mistletoe, a shamrock leaf, and a club or quarterstaff)

**Duration: **1 minute

Until the spell ends, a club or quarterstaff you are holding becomes a magical weapon (if it wasn’t already), its damage becomes 1d8, and you can use your spellcasting ability instead of Strength for melee attack and damage rolls made using it. The spell ends if you cast it again or let go of the target."
Spell Descriptions,Shocking Grasp,"Evocation cantrip

**Casting Time:** 1 action

**Range:** Touch

**Components:** V, S

**Duration: **Instantaneous

Electricity arcs from your fingertips to shock one creature. Make a melee spell attack (with advantage if the target is wearing metal armor). On a hit, you deal 1d8 lightning damage, and the target can’t take reactions until the start of its next turn as the electricity courses through its body.

This spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
Spell Descriptions,Silence,"2nd-level illusion (ritual)

**Casting Time:** 1 action

**Range: **120 feet

**Components:** V, S

**Duration: **Concentration, up to 10 minutes

Until the spell ends, a bubble of silence envelops the area, and no sound can travel in or out of it. While in the area a creature is deafened and immune to thunder damage. Casting a spell that requires a vocalized component is impossible while within the area."
Spell Descriptions,Silent Image,"1st-level illusion

**Casting Time:** 1 action

**Range: **60 feet

**Components: **V, S, M (a bit of fleece)

**Duration: **Concentration, up to 10 minutes

You create an illusory visual image of a creature, object, or other visible effect within a 15-foot cube. The illusion cannot produce sound or smell, and items and other creatures pass through it.

As an action, you can move the image to any point within range. The image’s movement can be natural and lifelike.

A creature that touches the image recognizes it as an illusion. A creature can also spend an action to make an Investigation check against your spell save DC to determine if the image is an illusion. On a success, it is able to see through the image."
Spell Descriptions,Simulacrum,"7th-level illusion

**Casting Time:** 12 hours

**Range:** Touch

**Components: **V, S, M (snow or ice in quantities sufficient to made a life-size copy of the duplicated creature; some hair, fingernail clippings, or other piece of that creature’s body placed inside the snow or ice; and powdered ruby worth 1,500 gp, sprinkled over the duplicate and consumed by the spell)

**Duration: **Until dispelled

You sculpt an illusory duplicate of one beast or humanoid that is within range for the entire casting time from ice and snow. The duplicate looks exactly like the target and uses all the statistics of the original, though it is formed without any gear, and has only half of the target’s hit point maximum. The duplicate is a creature and can take actions. If the target is able to cast spells, the duplicate cannot cast spells of 7th-level or higher.

The duplicate is friendly to you and your allies. It follows your orders, and moves and acts on your turn in combat. It is a static creature and it does not learn, age, or grow, so it never increases in levels and cannot regain any spent spell slots.

When the simulacrum is damaged you can repair it in an alchemy lab using components worth 100 gold per hit point it regains. When reduced to 0 hit points the simulacrum crumbles into snow and melts away immediately. The simulacrum is also destroyed if you cast this spell again."
Spell Descriptions,Sleep,"1st-level enchantment

**Casting Time:** 1 action

**Range: **90 feet

**Components: **V, S, M (a pinch of fine sand, rose petals, or a cricket)

**Duration: **1 minute

You put 4d10 hit points worth of creatures into a deep enchanted sleep. Starting with the target with the lowest hit points (ignoring unconscious creatures), targets within the area fall unconscious in ascending order according to their hit points. Slumbering creatures stay asleep until the spell ends, they take damage, or someone uses an action to physically wake them.

As each target falls asleep, subtract its hit points from the total before moving on to the next target. A target’s hit points must be equal to or less than the total remaining for the spell to have any effect.

Constructs and undead are not affected by this spell.

**At Higher Levels. **The spell affects an additional 2d10 hit points worth of creatures for each slot level above 1st."
Spell Descriptions,Sleet Storm,"3rd-level conjuration

**Casting Time:** 1 action

**Range: **150 feet

**Components: **V, S, M (a pinch of dust and a few drops of water)

**Duration: **Concentration, up to 1 minute

You conjure a storm of freezing rain and sleet in a 40-foot radius cylinder that is 20 feet high. The ground in the area is covered with slippery ice that makes it difficult terrain, exposed flames in the area are extinguished, and the area is heavily obscured. When a creature enters the area for the first time on a turn or starts its turn there, it must succeed on a Dexterity saving throw or fall prone.

When a creature concentrating on a spell starts its turn in the area or first enters into the area on a turn, it makes a Constitution saving throw or loses concentration."
Spell Descriptions,Slow,"3rd-level transmutation

**Casting Time:** 1 action

**Range: **120 feet

**Components: **V, S, M (a drop of molasses)

**Duration: **Concentration, up to 1 minute

You alter time around up to six creatures of your choice in a 40-foot cube within range. Each target must succeed on a Wisdom saving throw or be affected by this spell for the duration. An affected target’s speed is halved, it takes a −2 penalty to AC and Dexterity saving throws, and it can’t use reactions. On its turn, it can use either an action or a bonus action, not both. Regardless of the creature’s abilities or magic items, it can’t make more than one melee or ranged attack during its turn. If the creature attempts to cast a spell with a casting time of 1 action, roll a d20. On an 11 or higher, the spell doesn’t take effect until the creature’s next turn, and the creature must use its action on that turn to complete the spell. If it can’t, the spell is wasted. A creature affected by this spell makes another Wisdom saving throw at the end of its turn. On a successful save, the effect ends for it."
Spell Descriptions,Spare the Dying,"Necromancy cantrip

**Casting Time:** 1 action

**Range:** Touch

**Components:** V, S

**Duration: **Instantaneous

A jolt of healing energy flows through one living creature with 0 hit points and it becomes stable."
Spell Descriptions,Speak with Animals,"1st-level divination (ritual)

**Casting Time:** 1 action

**Range:** Self

**Components:** V, S

**Duration: **10 minutes

You gain the ability to comprehend and verbally communicate with beasts for the duration. The knowledge and awareness of many beasts is limited by their intelligence, but at minimum, beasts can give you information about nearby locations and monsters, including whatever they can perceive or have perceived within the past day. You might be able to persuade a beast to perform a small favor for you, at the GM’s discretion."
Spell Descriptions,Speak with Dead,"3rd-level necromancy

**Casting Time:** 1 action

**Range: **10 feet

**Components: **V, S, M (burning incense)

**Duration: **10 minutes

You call forth one corpe’s memories, animating it enough to answer 5 questions. The corpse’s knowledge is limited: it knows only what it knew in life and cannot learn new information or speak about anything that has occurred since its death. It speaks only in the languages it knew, and doesn’t need to give a truthful answer if it has reason not to. Answers might be brief, cryptic, or repetitive.

This spell does not return a departed soul, nor does it have any effect on an undead corpse, or one without a mouth."
Spell Descriptions,Speak with Plants,"3rd-level transmutation

**Casting Time:** 1 action

**Range: **Self (30-foot radius)

**Components:** V, S

**Duration: **10 minutes

Your voice takes on a magical timbre, awakening plants in a 30-foot radius to limited sentience. Until the spell ends, the targets can communicate with you and follow simple commands, telling you about recent events including creatures that have passed, weather, and nearby locations.

The targets have a limited mobility: they can move their branches, tendrils, and stalks freely. This allows them to turn ordinary terrain into difficult terrain, or make difficult terrain caused by vegetation into ordinary terrain for the duration as vines and branches move at your request. This spell can also release a creature restrained by an *entangle* spell.

At the GM’s discretion the targets may be able to perform other tasks, though each must remain rooted in place. If a plant creature is in the area, you can communicate with it but it is not compelled to follow your requests."
Spell Descriptions,Spider Climb,"2nd-level transmutation

**Casting Time:** 1 action

**Range:** Touch

**Components: **V, S, M (a drop of bitumen and a spider)

**Duration: **Concentration, up to 1 hour

One willing creature gains the ability to walk on walls and upside down on ceilings, as well as a climbing speed equal to its base Speed.

**At Higher Levels. **You can affect one additional target for each slot level above 2nd."
Spell Descriptions,Spike Growth,"2nd-level transmutation

**Casting Time:** 1 action

**Range: **150 feet

**Components: **V, S, M (seven sharp thorns or seven small twigs, each sharpened to a point)

**Duration: **Concentration, up to 10 minutes

You cause sharp spikes and thorns to sprout in a 20-foot radius, making it difficult terrain. When a creature enters or moves within the area, it takes 2d4 piercing damage for every 5 feet it travels.

Your magic causes the ground to look natural. A creature that can’t see the area when the spell is cast can spot the hazardous terrain just before entering it by making a Perception check against your spell save DC."
Spell Descriptions,Spirit Guardians,"3rd-level conjuration

**Casting Time:** 1 action

**Range: **Self (15-foot radius)

**Components: **V, S, M (a holy symbol)

**Duration: **Concentration, up to 10 minutes

You call down spirits of divine fury, filling a 10-foot radius with flitting spectral forms. You choose the form taken by the spirits.

Creatures of your choice halve their Speed while in the area. When an affected creature enters the area for the first time on a turn or starts its turn there, it takes 3d6 radiant or necrotic damage (your choice).

**At Higher Levels. **The damage increases by 1d6 for each slot level above 3rd."
Spell Descriptions,Spiritual Weapon,"2nd-level evocation

**Casting Time: **1 bonus action

**Range: **60 feet

**Components:** V, S

**Duration:** 1 minute

You create a levitating, incandescent weapon with an appearance of your choosing and use it to attack your enemies. On the round you cast it, you can make a melee spell attack against a creature within 5 feet of the weapon that deals force damage equal to 1d8 + your spellcasting ability modifier.

As a bonus action on subsequent turns until the spell ends, you can move the weapon up to 20 feet and make another attack against a creature within 5 feet of it.

**At Higher Levels. **The damage increases by 1d8 for every two slot levels above 2nd."
Spell Descriptions,Stinking Cloud,"3rd-level conjuration

**Casting Time:** 1 action

**Range: **90 feet

**Components: **V, S, M (a rotten egg or several skunk cabbage leaves)

**Duration: **Concentration, up to 1 minute

You create a 20-foot-radius sphere of yellow, nauseating gas centered on a point within range. The cloud spreads around corners, and its area is heavily obscured. The cloud lingers in the air for the duration.

Each creature that is completely within the cloud at the start of its turn must make a Constitution saving throw against poison. On a failed save, the creature spends its action that turn retching and reeling. Creatures that don’t need to breathe or are immune to poison automatically succeed on this saving throw.

A moderate wind (at least 10 miles per hour) disperses the cloud after 4 rounds. A strong wind (at least 20 miles per hour) disperses it after 1 round."
Spell Descriptions,Stone Shape,"4th-level transmutation

**Casting Time:** 1 action

**Range:** Touch

**Components: **V, S, M (soft clay, which must be worked into roughly the desired shape of the stone object)

**Duration: **Instantaneous

You reshape one stone object of Medium size or smaller, or a 5-foot section of stone into any form you choose. For example, you could shape a large rock into a weapon, statue, or chest, make a small passage through a walls less than 5 feet thick, seal a stone door shut, or create a hiding place. The target can have up to two hinges and a latch, but more complex mechanics aren’t possible.

**At Higher Levels. **You may select one additional target for every slot level above 4th."
Spell Descriptions,Stoneskin,"4th-level abjuration

**Casting Time:** 1 action

**Range:** Touch

**Components: **V, S, M (diamond dust worth 100 gp, which the spell consumes)

**Duration: **Concentration, up to 1 hour

This spell turns the flesh of a willing creature you touch as hard as stone. Until the spell ends, the target has resistance to nonmagical bludgeoning, piercing, and slashing damage."
Spell Descriptions,Storm of Vengeance,"9th-level conjuration

**Casting Time:** 1 action

**Range:** Sight

**Components:** V, S

**Duration: **Concentration, up to 1 minute

You conjure a storm cloud that covers a 360-foot radius area that is up to 5,000 feet in the air. As it forms, lightning and thunder mix with howling winds, and each creature beneath the cloud must succeed on a Constitution saving throw or take 2d6 thunder damage and become deafened for 5 minutes.

Until the spell ends, at the start of your turn the cloud produces additional effects:

**Round 2.** Acid rain falls throughout the area dealing 1d6 acid damage to each creature and object beneath the cloud.

**Round 3.** Lightning bolts strike up to 6 creatures or objects of your choosing that are beneath the cloud (no more than one bolt per creature or object). A creature struck by this lightning makes a Dexterity saving throw, taking 10d6 lightning damage on a failed save, or half damage on a successful save.

**Round 4.** Heavy hail falls throughout the area dealing 2d6 bludgeoning damage to each creature beneath the cloud.

**Round 5–10.** Freezing rain and roiling winds turn the area beneath the cloud into difficult terrain that is heavily obscured. Ranged weapon attacks automatically miss while a creature or its target are beneath the cloud. When a creature concentrating on a spell starts its turn beneath the cloud or enters into the area, it makes a Constitution saving throw or loses concentration. Gusts of strong winds between 20–50 miles per hour automatically disperse fog, mists, and similar effects (whether mundane or magical). Finally, each creature beneath the cloud takes 1d6 cold damage."
Spell Descriptions,Suggestion,"2nd-level enchantment

**Casting Time:** 1 action

**Range: **30 feet

**Components: **V, M (a snake’s tongue and either a bit of honeycomb or a drop of sweet oil)

**Duration: **Concentration, up to 8 hours

Creatures that cannot be charmed are immune to this spell. Suggest an activity phrased in one to two sentences. One creature is magically influenced to follow that course of activity. The suggestion must be worded to sound reasonable. Asking the target to perform an action that is obviously harmful to it ends the spell.

The target carries out the activity suggested by you as well as it can until it completes the activity or the spell ends.

You may specify trigger conditions that cause the target to perform a specific activity while the spell lasts.

Any damage done to the target by you or one of your allies ends the spell for that creature.

**At Higher Levels. **When using a 4th-level spell slot, the duration is concentration, up to 24 hours. When using a 5th-level spell slot, the duration is 7 days. When using a 7th-level spell slot, the duration is 1 year. When using a 9th-level spell slot, the suggestion lasts until it is dispelled. Any use of a 5th-level or higher spell slot grants a duration that doesn’t require concentration."
Spell Descriptions,Sunbeam,"6th-level evocation

**Casting Time:** 1 action

**Range: **Self (60-foot line)

**Components: **V, S, M (a magnifying glass)

**Duration: **Concentration, up to 1 minute

Oozes and undead have disadvantage on saving throws made to resist this spell. Radiant sunlight streaks from your hand. Each creature a line 60 feet long and 5 feet wide takes 6d8 radiant damage and is blinded for 1 round.

Until the spell ends, you can use an action on subsequent turns to create a new beam of sunlight.

A mote of brilliant radiance lingers on your hand until the spell ends, shedding bright light in a 30-foot radius and dim light an additional 30 feet. This light is sunlight.

**At Higher Levels. **When using an 8th-level spell slot the damage increases by 1d8."
Spell Descriptions,Sunburst,"8th-level evocation

**Casting Time:** 1 action

**Range: **150 feet

**Components: **V, S, M (fire and a piece of sunstone)

**Duration: **Instantaneous

Oozes and undead have disadvantage on saving throws made to resist this spell. You create a burst of radiant sunlight that fills the area. Each creature in the area takes 12d6 radiant damage and is blinded for 1 minute. A creature blinded by this spell repeats its saving throw at the end of each of its turns, ending the blindness on a successful save.

This spell dispels any magical darkness in its area. This light is sunlight.

**At Higher Levels. **When using a 9th-level spell slot the damage increases by 2d6."
Spell Descriptions,Symbol,"7th-level abjuration

**Casting Time:** 1 minute

**Range:** Touch

**Components: **V, S, M (mercury, phosphorus, and powdered diamond and opal with a total value of at least 1,000 gp, which the spell consumes)

**Duration: **Until dispelled or triggered

You inscribe a potent glyph on one object or a surface no larger than 10 feet in diameter, setting a magical trap for your enemies. If the glyph is moved more than 10 feet from its original position, or if it comes within 20 feet of another glyph that you have cast, the spell ends. Finding the Tiny glyph requires an Investigation check against your spell save DC.

Describe the actions a creature must perform to trigger the spell, such as approaching within a certain distance, opening or touching the object the glyph is inscribed on, or seeing or reading the glyph. The creature must have a clear path to the glyph to trigger it. You can specify certain creatures which don’t trigger the spell, such as those with a certain appearance or those who speak a certain phrase. Once the glyph is triggered, the spell ends.

When triggered, the glyph sheds dim light in a 60-foot radius for 10 minutes, after which the spell ends. Each creature within the sphere’s area is targeted by the glyph, as are creatures that enter the sphere for the first time on a turn.

When you cast the spell, choose one of the following effects.

**Death:** Creatures in the area make a Constitution saving throw, taking 10d10 necrotic damage on a failed save, or half as much on a successful save.

**Discord:** Creatures in the area must succeed on a Constitution saving throw or bicker and squabble with other creatures for 1 minute. While bickering, a creature cannot meaningfully communicate and it has disadvantage on attack rolls and ability checks.

**Confused:** Creatures in the area must succeed on an Intelligence saving throw or become confused for 1 minute.

**Fear:** Creatures in the area must succeed on a Wisdom saving throw or be frightened for 1 minute. While frightened, a creature drops anything it is holding and must try to move at least 30 feet away from the glyph on each of its turns.

**Hopelessness:** Creatures in the area must succeed on a Charisma saving throw or be filled with despair for 1 minute. While despairing, a creature can’t attack or target any creature with harmful effects.

**Pain:** Creatures in the area must succeed on a Constitution saving throw or become incapacitated for 1 minute.

**Sleep:** Creatures in the area must succeed on a Wisdom saving throw or fall unconscious for 10 minutes. A sleeping creature awakens if it takes damage or an action is used to wake it.

**Stunning:** Creatures in the area must succeed on a Wisdom saving throw or become stunned for 1 minute."
Spell Descriptions,Telekinesis,"5th-level transmutation

**Casting Time:** 1 action

**Range: **60 feet

**Components:** V, S

**Duration: **Concentration, up to 10 minutes

You move one Huge or smaller creature or object with the power of your mind. Until the spell ends you can use an action on subsequent turns to pick a new target or continue to affect the same target. Depending on whether you target a creature or an object, the spell has the following effects:

**Creature:** The target makes a Strength check against your spell save DC or it is moved up to 30 feet in any direction and restrained (even in mid-air) until the end of your next turn. You cannot move a target beyond the range of the spell.

**Object:** You move the target 30 feet in any direction. If the object is worn or carried by a creature, that creature can make a Strength check against your spell save DC. If the target fails, you pull the object away from that creature and can move it up to 30 feet in any direction, but not beyond the range of the spell.

You can use *telekinesis* to finely manipulate objects as though you were using them yourself—you can open doors and unscrew lids, dip a quill in ink and make it write, and so on.

**At Higher Levels. **When using an 8th-level spell slot, this spell does not require your concentration."
Spell Descriptions,Telepathic Bond,"5th-level divination (ritual)

**Casting Time:** 1 action

**Range: **30 feet

**Components: **V, S, M (pieces of eggshell from two different kinds of creatures)

**Duration:** 1 hour

Until the spell ends, a telepathic link connects the minds of up to eight willing creatures of Intelligence 3 or higher. So long as they remain on the same plane of existence, targets may communicate telepathically with each other regardless of language and across any distance.

**At Higher Levels. **The spell’s duration increases by 1d4 hours for each slot level above 5th."
Spell Descriptions,Teleport,"Table: Teleport Familiarity |  |  |  | 
Familiarity | On Target | Off Target | Similar Location | Mishap
Permanent circle | 1–100 | — | — | —
Associated object | 1–85 | 86–95 | 96–100 | —
Very familiar | 1–76 | 77–87 | 88–95 | 96–100
Seen casually | 1–47 | 48–57 | 58–67 | 68–100
Viewed once | 1–27 | 28–47 | 48–57 | 58–100
Description | 1–27 | 28–47 | 48–57 | 58–100
False destination | — | — | 01–50 | 51–100"
Spell Descriptions,Teleportation Circle,"5th-level conjuration

**Casting Time:** 1 minute

**Range: **10 feet

**Components: **V, M (rare chalks and inks infused with precious gems with 50 gp, which the spell consumes)

**Duration:** 1 round

You draw a 10-foot diameter circle on the ground and open within it a shimmering portal to a permanent teleportation circle elsewhere in the world. The portal remains open until the end of your next turn. Any creature that enters the portal instantly travels to the destination circle.

Permanent teleportation circles are commonly found within royal palaces, major centers of commerce, and other important locations. Each circle has a unique sequence of magical runes inscribed in a certain pattern called a sigil sequence.

When you cast *teleportation circle*, you inscribe runes that match the sigil sequence of a teleportation circle you know. When you first gain the ability to cast this spell, you learn the sigil sequences for 2 destinations on the Material Plane, determined by the GM. You can learn a new sigil sequence with 1 minute of observation and study.

Casting the spell in the same location every day for a year creates a permanent teleportation circle with its own unique sigil sequence. You do not need to teleport when casting the spell to make a permanent destination."
Spell Descriptions,Thaumaturgy,"Transmutation cantrip

**Casting Time:** 1 action

**Range: **30 feet

**Components:** V

**Duration: **Up to 1 minute

You create a minor divine effect. When you cast the spell, choose one of the following:

        •          Your voice booms up to three times louder than normal

        •          Flames flicker, brighten, dim, or change color

        •          Harmless tremors shake the ground.

        •          An instantaneous sound, like ethereal chimes, sinister laughter, or a dragon’s roar occurs at a point of your choosing within range.

        •          An unlocked door or window flies open or slams shut.

        •          Your eyes change appearance.

Lingering effects last until the spell ends. If you cast this spell multiple times, you can have up to 3 of the lingering effects active at a time, and can dismiss an effect at any time on your turn."
Spell Descriptions,Thunderwave,"1st-level evocation

**Casting Time:** 1 action

**Range: **Self (15-foot cube)

**Components:** V, S

**Duration: **Instantaneous

You create a wave of thunderous force, damaging creatures and pushing them back. Creatures in a 15-foot cube take 2d8 thunder damage and are pushed 10 feet away from you.

Unsecured objects completely within the area are also pushed 10 feet away from you. The thunderous boom of the spell is audible out to 300 feet.

**At Higher Levels. **The damage increases by 1d8 for each slot level above 1st."
Spell Descriptions,Time Stop,"9th-level transmutation

**Casting Time:** 1 action

**Range:** Self

**Components:** V

**Duration: **Instantaneous

When you cast the spell, the world is frozen in time while you take 1d4 + 1 turns in a row, during which you can use actions and move as normal.

The spell ends if you move more than 1,000 feet from where you cast the spell, or if you affect either a creature other than yourself or an object worn or carried by someone else."
